"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"58","Affect PD","Noise","Affect PD-Noise",0.222222222222222,0.440958551844098,"Pleased/Disgusted","Noisy/Tonal",4.46466630032684e-05,-4.08201630849965,0.745270804089742
"59","Pitch","Affect PD","Affect PD-Pitch",0.529411764705882,0.483172725174902,"High Pitch/Low Pitch","Pleased/Disgusted",0.000448585454989333,-3.5097160525319,0.453102394045763
"60","Affect PD","Pitch","Affect PD-Pitch",0.566666666666667,0.409757531435239,"Pleased/Disgusted","High Pitch/Low Pitch",0.109847567072057,-1.59887865775678,0.176566610184584
"61","Shape","Affect PD","Affect PD-Shape",0.233333333333333,0.416904693916396,"Jagged/Curvy","Pleased/Disgusted",0.699328483125915,-0.386227102576444,0.042651648348983
"62","Affect PD","Shape","Affect PD-Shape",0.208333333333333,0.395911646388474,"Pleased/Disgusted","Jagged/Curvy",0.00233477414516272,-3.04397129794107,0.340326337187725
"63","Size","Affect PD","Affect PD-Size",0.866666666666667,0.351865775274498,"Large/Small","Pleased/Disgusted",3.14178094659895e-15,-7.88514198045394,0.881585674026617
"64","Affect PD","Size","Affect PD-Size",0.6,0.516397779494322,"Pleased/Disgusted","Large/Small",0.382591512192767,-0.873131305499918,0.195238095238095
"65","Speed","Affect PD","Affect PD-Speed",0.692307692307692,0.480384461415261,"Fast/Slow","Pleased/Disgusted",0.960442234355918,-0.0495986350643442,0.00991972701286884
"66","Affect PD","Speed","Affect PD-Speed",0.625,0.517549169506766,"Pleased/Disgusted","Fast/Slow",0.0771347416132032,-1.76755849649983,0.395238095238095
"67","Amp","Affect SC","Affect SC-Amp",0.970588235294118,0.121267812518166,"Loud/Quiet","Stressed/Calm",0.02182708220053,-2.29336356928101,0.458672713856203
"68","Affect SC","Amp","Affect SC-Amp",1,0,"Stressed/Calm","Loud/Quiet",0.0267757117000427,-2.21477209199979,0.495238095238095
"69","Brightness","Affect SC","Affect SC-Brightness",0.761904761904762,0.422215795851101,"Bright/Dark","Stressed/Calm",0.062139516070177,-1.8652989227852,0.324706864135136
"70","Affect SC","Brightness","Affect SC-Brightness",0.666666666666667,0.471404520791032,"Stressed/Calm","Bright/Dark",0.00555335219386895,-2.77305038344397,0.482726110596976
"71","Color RB","Affect SC","Affect SC-Color RB",1,0,"Red/Blue","Stressed/Calm",0.00151775687642731,-3.17126677623058,0.501421304045407
"72","Affect SC","Color RB","Affect SC-Color RB",1,0,"Stressed/Calm","Red/Blue",0.353303909160924,-0.928199855943393,0.166709615467922
"73","Color RG","Affect SC","Affect SC-Color RG",0.625,0.517549169506766,"Red/Green","Stressed/Calm",0.618694133460674,-0.497701950006793,0.0807379176296537
"74","Affect SC","Color RG","Affect SC-Color RG",0.833333333333333,0.408248290463863,"Stressed/Calm","Red/Green",0.573023776832493,-0.56360383420892,0.101226236866542
"75","Color RY","Affect SC","Affect SC-Color RY",0,NA,"Red/Yellow","Stressed/Calm",0.284742025030072,-1.06972740944767,0.218357193084674
"76","Affect SC","Color RY","Affect SC-Color RY",1,0,"Stressed/Calm","Red/Yellow",0.00847046309332441,-2.63271805337462,0.480666355128123
"77","Color YB","Affect SC","Affect SC-Color YB",0.625,0.517549169506766,"Yellow/Blue","Stressed/Calm",0.153840534491787,-1.42609634217189,0.269506876214693
"78","Affect SC","Color YB","Affect SC-Color YB",0.8,0.447213595499958,"Stressed/Calm","Yellow/Blue",0.723811529253396,-0.353369391938817,0.0606023507501757
"79","Noise","Affect SC","Affect SC-Noise",0.857142857142857,0.363136519601281,"Noisy/Tonal","Stressed/Calm",0.531842017919673,-0.625196623181807,0.12261114543986
"80","Affect SC","Noise","Affect SC-Noise",0.866666666666667,0.351865775274498,"Stressed/Calm","Noisy/Tonal",0.0428764504062397,-2.02491152070076,0.369696572279965
"81","Pitch","Affect SC","Affect SC-Pitch",0.642857142857143,0.456936766731688,"High Pitch/Low Pitch","Stressed/Calm",0.00555335219386895,-2.77305038344397,0.490210682676297
"82","Affect SC","Pitch","Affect SC-Pitch",0.428571428571429,0.513552591013095,"Stressed/Calm","High Pitch/Low Pitch",0.105950995053689,-1.6166632302369,0.317053744534072
"83","Shape","Affect SC","Affect SC-Shape",0.923076923076923,0.277350098112615,"Jagged/Curvy","Stressed/Calm",9.55906776486905e-07,-4.90050489142998,0.926108374384237
"84","Affect SC","Shape","Affect SC-Shape",0.846153846153846,0.375533808099405,"Stressed/Calm","Jagged/Curvy",0.0175446503061835,-2.37509045021674,0.262284862983229
"85","Size","Affect SC","Affect SC-Size",0.583333333333333,0.461774072591399,"Large/Small","Stressed/Calm",0.000178958367977468,-3.7470052136642,0.475870138005729
"86","Affect SC","Size","Affect SC-Size",0.736842105263158,0.42059551209603,"Stressed/Calm","Large/Small",1,0,0
"87","Speed","Affect SC","Affect SC-Speed",0.852941176470588,0.342997170285018,"Fast/Slow","Stressed/Calm",0.24314908082015,-1.16715177820372,0.150678646649313
"88","Affect SC","Speed","Affect SC-Speed",1,0,"Stressed/Calm","Fast/Slow",0.00963965970215515,-2.58849410475108,0.328739080042631
"89","Brightness","Amp","Amp-Brightness",0.858333333333333,0.260001105214273,"Bright/Dark","Loud/Quiet",5.55942124955116e-07,-5.00592565698364,0.635753194190435
"90","Amp","Brightness","Amp-Brightness",0.891666666666667,0.276081988488594,"Loud/Quiet","Bright/Dark",0.124802890588878,-1.53492239979993,0.169503823016372
"91","Color RB","Amp","Amp-Color RB",0.916666666666667,0.288675134594813,"Red/Blue","Loud/Quiet",0.792880138248887,-0.262572448194663,0.0289962761593452
"92","Amp","Color RB","Amp-Color RB",1,0,"Loud/Quiet","Red/Blue",2.78113280011116e-08,-5.55468471589465,0.705445664364638
"93","Color RG","Amp","Amp-Color RG",0.636363636363636,0.492365963917331,"Red/Green","Loud/Quiet",0.00548054181539702,-2.77734235794733,0.358553356634881
"94","Amp","Color RG","Amp-Color RG",0.642857142857143,0.456936766731688,"Loud/Quiet","Red/Green",1.94855875692904e-05,-4.27070515944645,0.779720517427506
"95","Color RY","Amp","Amp-Color RY",0.85,0.337474278855276,"Red/Yellow","Loud/Quiet",4.52943899502055e-06,-4.58548033860367,0.81060606060606
"96","Amp","Color RY","Amp-Color RY",0.65625,0.473242362150023,"Loud/Quiet","Red/Yellow",0.0657872315884552,-1.83987063864342,0.581818181818182
"97","Color YB","Amp","Amp-Color YB",0.9375,0.25,"Yellow/Blue","Loud/Quiet",0.0134891037280277,-2.47058823529412,0.617647058823529
"98","Amp","Color YB","Amp-Color YB",0.875,0.341565025531987,"Loud/Quiet","Yellow/Blue",0.529650670053343,-0.628539361054709,0.222222222222222
"99","Noise","Amp","Amp-Noise",0.4875,0.415832498329155,"Noisy/Tonal","Loud/Quiet",0.0219336368664728,-2.29151514650605,0.591666666666667
"100","Amp","Noise","Amp-Noise",0.4875,0.445598128707575,"Loud/Quiet","Noisy/Tonal",0.0242736757941478,-2.25276966530903,0.380787573511853
"101","Pitch","Amp","Amp-Pitch",0.292682926829268,0.334955402928837,"High Pitch/Low Pitch","Loud/Quiet",0.62178377893941,-0.493323850074808,0.0886035790896973
"102","Amp","Pitch","Amp-Pitch",0.25609756097561,0.355702671122811,"Loud/Quiet","High Pitch/Low Pitch",0.739522133269849,-0.332486233276912,0.0597162903474445
