,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
82,83.0,2987.0,0BwAB3cQny,Noise-Shape-Speed-10,Size-Triangles-H,Size-Triangles-L,Shape-BK2-H,Shape-BK2-L,1
83,84.0,7155.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-H,Noise-Hum-L,Pitch-Piano-H,Pitch-Piano-L,0
84,85.0,2905.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-L,Shape-BK3-H,Speed-SP1-H,Speed-SP1-L,1
85,86.0,3477.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Affect-EB-H,Affect-EB-L,0
86,87.0,2244.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-H,Speed-SP4-L,Color-RY-H,Color-RY-L,1
87,88.0,4047.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-H,Noise-Hum-L,Shape-BK3-H,Shape-BK3-L,0
88,89.0,3955.0,0BwAB3cQny,Noise-Shape-Speed-10,Color-RY-H,Color-RY-L,Noise-Tone-H,Noise-Tone-L,0
89,90.0,5420.0,0BwAB3cQny,Noise-Shape-Speed-10,Amp-Pulse-L,Amp-Pulse-H,Noise-Piano-H,Noise-Piano-L,0
90,91.0,3874.0,0BwAB3cQny,Noise-Shape-Speed-10,Affect-EB-H,Affect-EB-L,Noise-Tone-H,Noise-Tone-L,1
91,92.0,3506.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-H,Speed-SP4-L,Size-Triangles-H,Size-Triangles-L,0
92,93.0,3569.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-H,Speed-SP4-L,Noise-Hum-H,Noise-Hum-L,1
93,94.0,5289.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-L,Noise-Hum-H,Amp-Pulse-L,Amp-Pulse-H,1
94,95.0,4540.0,0BwAB3cQny,Noise-Shape-Speed-10,Pitch-Piano-L,Pitch-Piano-H,Speed-SP2-L,Speed-SP2-H,1
95,96.0,3400.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-L,Shape-BK1-H,Size-Triangles-H,Size-Triangles-L,0
0,1.0,4844.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-L,Color-YB-H,Noise-Hum-L,Noise-Hum-H,1
1,2.0,3273.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-L,Shape-BK2-H,Color-RB-L,Color-RB-H,1
2,3.0,5587.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-H,Pitch-Hum-L,Noise-Hum-L,Noise-Hum-H,1
3,4.0,3369.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-L,Size-Squares-H,Brightness-Triangles-L,Brightness-Triangles-H,0
4,5.0,3926.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-H,Brightness-Triangles-L,Pitch-Pulse-H,Pitch-Pulse-L,1
5,6.0,3562.0,2fgfNXCWoW,Pitch-Size-Color-9,Speed-SP4-L,Speed-SP4-H,Color-RY-L,Color-RY-H,0
6,7.0,3924.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Amp-Tone-H,Amp-Tone-L,0
7,8.0,5651.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-L,Noise-Hum-H,Pitch-Tone-H,Pitch-Tone-L,1
8,9.0,2170.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-H,Size-Diamonds-L,Color-RY-L,Color-RY-H,0
9,10.0,5177.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-L,Pitch-Hum-H,Brightness-Triangles-L,Brightness-Triangles-H,1
10,11.0,7778.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Piano-H,Pitch-Piano-L,Noise-Hum-H,Noise-Hum-L,0
11,12.0,2847.0,2fgfNXCWoW,Pitch-Size-Color-9,Speed-SP4-L,Speed-SP4-H,Size-Circles-L,Size-Circles-H,1
12,13.0,4017.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-L,Affect-EB-H,Color-RY-H,Color-RY-L,1
13,14.0,4472.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-L,Affect-EB-H,Color-RB-L,Color-RB-H,0
14,15.0,2985.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Color-RY-L,Color-RY-H,1
15,16.0,5278.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Piano-L,Pitch-Piano-H,Brightness-Triangles-H,Brightness-Triangles-L,0
16,17.0,2585.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-L,Shape-BK2-H,Size-Circles-H,Size-Circles-L,1
17,18.0,2712.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-H,Brightness-Triangles-L,Size-Circles-L,Size-Circles-H,1
18,19.0,1953.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-L,Size-Diamonds-H,Brightness-Triangles-H,Brightness-Triangles-L,1
19,20.0,2121.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-H,Color-YB-L,Brightness-Triangles-H,Brightness-Triangles-L,0
20,21.0,1791.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RY-H,Color-RY-L,Size-Triangles-L,Size-Triangles-H,1
21,22.0,6628.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-L,Size-Squares-H,Noise-Hum-H,Noise-Hum-L,1
22,23.0,3033.0,2fgfNXCWoW,Pitch-Size-Color-9,Speed-SP4-H,Speed-SP4-L,Size-Triangles-H,Size-Triangles-L,1
23,24.0,3883.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-H,Size-Diamonds-L,Affect-EB-L,Affect-EB-H,1
24,25.0,4732.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-H,Noise-Hum-L,Color-RB-H,Color-RB-L,1
25,26.0,6893.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Piano-L,Pitch-Piano-H,Shape-BK2-L,Shape-BK2-H,0
26,27.0,2025.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-L,Brightness-Triangles-H,Size-Triangles-H,Size-Triangles-L,1
27,28.0,5496.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-L,Pitch-Hum-H,Amp-Tone-L,Amp-Tone-H,1
28,29.0,2705.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-L,Color-RG-H,Speed-SP4-H,Speed-SP4-L,1
29,30.0,4221.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-H,Amp-Tone-L,Color-RB-L,Color-RB-H,1
30,31.0,3336.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Shape-BK2-L,Shape-BK2-H,1
31,32.0,3697.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Affect-EB-H,Affect-EB-L,0
32,33.0,3967.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-H,Noise-Hum-L,Size-Triangles-H,Size-Triangles-L,0
33,34.0,4430.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-H,Affect-EB-L,Pitch-Pulse-L,Pitch-Pulse-H,1
34,35.0,4556.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-L,Pitch-Hum-H,Speed-SP4-L,Speed-SP4-H,1
35,36.0,3297.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-L,Color-RG-H,Size-Squares-L,Size-Squares-H,1
36,37.0,4565.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-L,Brightness-Triangles-H,Pitch-Tone-L,Pitch-Tone-H,0
37,38.0,4134.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-H,Pitch-Hum-L,Size-Squares-H,Size-Squares-L,1
38,39.0,4153.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-L,Brightness-Triangles-H,Color-RB-L,Color-RB-H,0
39,40.0,3713.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-H,Color-YB-L,Affect-EB-L,Affect-EB-H,0
40,41.0,3337.0,2fgfNXCWoW,Pitch-Size-Color-9,Speed-SP4-H,Speed-SP4-L,Color-RB-H,Color-RB-L,0
