"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
57,58,3614,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-L","Amp-Piano-H","Affect-PD-H","Affect-PD-L",1
58,59,5321,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-PD-L","Affect-PD-H","Amp-Hum-L","Amp-Hum-H",0
59,60,4265,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-L","Affect-HS-H","Amp-Piano-H","Amp-Piano-L",1
60,61,2170,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-H","Brightness-Triangles-L","Size-Squares-H","Size-Squares-L",0
61,62,5411,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-H","Color-RY-L","Affect-SC-H","Affect-SC-L",1
62,63,5163,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-L","Noise-Piano-H","Brightness-Diamonds-H","Brightness-Diamonds-L",0
63,64,3453,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-H","Color-RY-L","Affect-PD-H","Affect-PD-L",1
64,65,2423,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Color-RY-H","Color-RY-L",1
65,66,2515,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-H","Size-Squares-L","Affect-PD-H","Affect-PD-L",0
66,67,3835,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-PD-H","Affect-PD-L","Amp-Tone-L","Amp-Tone-H",1
67,68,4982,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-H","Affect-EB-L","Noise-Piano-H","Noise-Piano-L",1
68,69,3255,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-H","Affect-HS-L","Color-RY-H","Color-RY-L",1
69,70,3674,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-H","Affect-HS-L","Noise-Piano-L","Noise-Piano-H",0
70,71,3602,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-H","Brightness-Triangles-L","Speed-SP2-H","Speed-SP2-L",0
71,72,6661,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-H","Brightness-Squares-L","Pitch-Hum-L","Pitch-Hum-H",0
72,73,2843,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-H","Brightness-Squares-L","Speed-SP2-H","Speed-SP2-L",0
73,74,2496,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-L","Affect-HS-H","Shape-BK3-L","Shape-BK3-H",1
74,75,3206,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-H","Shape-BK3-L","Brightness-Diamonds-L","Brightness-Diamonds-H",0
75,76,4181,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Brightness-Triangles-L","Brightness-Triangles-H",1
76,77,4079,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-H","Size-Squares-L","Amp-Hum-L","Amp-Hum-H",1
77,78,4088,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-L","Shape-BK3-H","Affect-SC-L","Affect-SC-H",0
78,79,4266,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Speed-SP2-L","Speed-SP2-H",1
79,80,5732,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-H","Pitch-Hum-L","Amp-Tone-H","Amp-Tone-L",1
80,81,2581,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-L","Size-Squares-H","Brightness-Diamonds-H","Brightness-Diamonds-L",1
81,82,4503,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-L","Noise-Piano-H","Affect-PD-H","Affect-PD-L",0
82,83,3912,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Amp-Piano-L","Amp-Piano-H",0
83,84,2596,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-PD-H","Affect-PD-L","Brightness-Circles-L","Brightness-Circles-H",1
